camis,inspection_date,dba,boro,zipcode,cuisine,score,grade,action,violation_count,critical_count,failed,latitude,longitude,yelp_rating,yelp_reviews,yelp_price,yelp_category,high_rating,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,food_complaints_total,rodent_complaints,food_safety_complaints,median_household_income,total_population,white_population,inspection_year,inspection_month,inspection_dow,inspection_quarter,is_weekend,prev_score,prev_failed,inspection_count,score_trend,grade_available,has_yelp,is_first_inspection,has_history,cuisine_grouped,yelp_category_primary,white_pct,score_bucket,has_location
40364296,2024-03-04,HAPPY GARDEN,BRONX,10458,Chinese,12.0,A,Violations were cited in the following area(s).,3,1,0,40.863648812188,-73.894239617341,2.7,12.0,,chinese,0.0,8.195833333333333,14.4,3.7,0.0,0.0,0.0,11.904166666666669,21.9625,52.625,2.0,0.0,0.0,47036.0,1443229.0,258727.0,2024,3,0,1,0,21.0,0.0,2,-9.0,1,1,0,1,Chinese,chinese,0.1792695407312353,A,1
40364335,2024-09-30,PETER LUGER STEAKHOUSE,BROOKLYN,11211,Steakhouse,12.0,A,Violations were cited in the following area(s).,2,1,0,40.709979804558,-73.962512437328,4.0,7451.0,4.0,steak,1.0,18.095833333333335,22.9,14.4,0.0,0.0,0.0,11.35,20.216666666666665,90.58333333333331,13.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,9,0,3,0,-1.0,-1.0,1,0.0,1,1,1,0,Other,steak,0.4037900896395757,A,1
40364347,2023-06-28,METROPOLITAN CLUB,MANHATTAN,10022,American,10.0,,Violations were cited in the following area(s).,5,4,0,40.764795521845,-73.97230783434,4.3,43.0,,"social_clubs,venues,nonprofit",1.0,22.866666666666664,28.6,18.9,2.1,2.1,0.0,7.1125,15.516666666666666,76.45833333333333,14.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,6,2,2,0,-1.0,-1.0,1,0.0,0,1,1,0,American,social_clubs,0.5121628904401145,A,1
40364347,2024-03-20,METROPOLITAN CLUB,MANHATTAN,10022,American,13.0,A,Violations were cited in the following area(s).,4,1,0,40.764795521845,-73.97230783434,4.3,43.0,,"social_clubs,venues,nonprofit",1.0,5.895833333333333,11.9,1.1,2.8,2.8,0.0,14.866666666666667,27.204166666666666,60.791666666666664,15.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,3,2,1,0,10.0,0.0,2,3.0,1,1,0,1,American,social_clubs,0.5121628904401145,A,1
40364347,2024-10-29,METROPOLITAN CLUB,MANHATTAN,10022,American,8.0,A,Violations were cited in the following area(s).,2,1,0,40.764795521845,-73.97230783434,4.3,43.0,,"social_clubs,venues,nonprofit",1.0,12.808333333333332,17.5,6.1,1.1,1.1,0.0,12.295833333333334,22.129166666666663,67.91666666666667,17.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,10,1,4,0,13.0,0.0,3,-5.0,1,1,0,1,American,social_clubs,0.5121628904401145,A,1
40364373,2024-09-10,ISLE OF CAPRI,MANHATTAN,10065,Italian,26.0,,Violations were cited in the following area(s).,4,2,0,40.76270773611,-73.965749576014,4.1,332.0,3.0,italian,1.0,19.558333333333337,26.1,13.8,0.0,0.0,0.0,10.608333333333333,19.2625,3.875,15.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,9,1,3,0,-1.0,-1.0,1,0.0,0,1,1,0,Italian,italian,0.5121628904401145,B,1
40364389,2024-02-07,OLD TOWN BAR,MANHATTAN,10003,American,9.0,A,Violations were cited in the following area(s).,4,0,0,40.73759507351,-73.989647208522,3.6,464.0,2.0,"tradamerican,bars",0.0,1.5583333333333331,8.1,-3.7,0.0,0.0,0.0,8.941666666666666,16.558333333333334,18.5,12.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,2,2,1,0,-1.0,-1.0,1,0.0,1,1,1,0,American,tradamerican,0.5121628904401145,A,1
40364439,2023-05-17,SEVILLA,MANHATTAN,10014,Spanish,12.0,A,Violations were cited in the following area(s).,3,1,0,40.734908378121,-74.00297328507,3.7,616.0,2.0,"spanish,bars,seafood",0.0,15.1125,18.8,10.6,0.0,0.0,0.0,20.329166666666666,36.95,23.291666666666668,7.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,5,2,2,0,-1.0,-1.0,1,0.0,1,1,1,0,Spanish,spanish,0.5121628904401145,A,1
40364443,2024-02-02,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,10013,American,12.0,A,Violations were cited in the following area(s).,3,1,0,40.71607656565,-74.001424896229,4.6,1650.0,,"landmarks,trainstations",1.0,3.775,6.0,2.0,6.3,6.3,0.0,11.966666666666669,20.2875,76.58333333333333,11.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,2,4,1,0,-1.0,-1.0,1,0.0,1,1,1,0,American,landmarks,0.5121628904401145,A,1
40364449,2024-09-13,GOTTSCHEER HALL,QUEENS,11385,German,32.0,,Violations were cited in the following area(s).,8,4,1,40.706647972614,-73.90573574011,4.4,68.0,1.0,"catering,german,beerbar",1.0,19.958333333333332,27.5,13.9,0.0,0.0,0.0,5.1499999999999995,12.495833333333332,24.0,8.0,0.0,0.0,82431.0,2360826.0,720630.0,2024,9,4,3,0,-1.0,-1.0,1,0.0,0,1,1,0,Other,catering,0.3052448592145291,C,1
