date,borough,food_complaints_total,rodent_complaints,food_safety_complaints
2023-03-04,QUEENS,8,0,0
2023-03-04,STATEN ISLAND,2,0,0
2023-03-05,BRONX,3,0,0
2023-03-05,BROOKLYN,7,0,0
2023-03-05,MANHATTAN,21,0,0
2023-03-05,QUEENS,14,0,0
2023-03-05,STATEN ISLAND,2,0,0
2023-03-06,BRONX,6,0,0
2023-03-06,BROOKLYN,12,0,0
2023-03-06,MANHATTAN,18,0,0
2023-03-06,QUEENS,14,0,0
2023-03-06,STATEN ISLAND,2,0,0
2023-03-07,BRONX,5,0,0
2023-03-07,BROOKLYN,8,0,0
2023-03-07,MANHATTAN,13,0,0
2023-03-07,QUEENS,12,0,0
2023-03-08,BRONX,2,0,0
2023-03-08,BROOKLYN,10,0,0
2023-03-08,MANHATTAN,9,0,0
2023-03-08,QUEENS,9,0,0
2023-03-08,STATEN ISLAND,2,0,0
2023-03-09,BRONX,4,0,0
2023-03-09,BROOKLYN,12,0,0
2023-03-09,MANHATTAN,20,0,0
2023-03-09,QUEENS,9,0,0
2023-03-10,BRONX,3,0,0
2023-03-10,BROOKLYN,7,0,0
2023-03-10,MANHATTAN,18,0,0
2023-03-10,QUEENS,8,0,0
2023-03-11,BRONX,1,0,0
2023-03-11,BROOKLYN,7,0,0
2023-03-11,MANHATTAN,9,0,0
2023-03-11,QUEENS,9,0,0
2023-03-12,BRONX,2,0,0
2023-03-12,BROOKLYN,9,0,0
2023-03-12,MANHATTAN,10,0,0
2023-03-12,QUEENS,7,0,0
2023-03-12,STATEN ISLAND,2,0,0
2023-03-13,BRONX,4,0,0
2023-03-13,BROOKLYN,14,0,0
2023-03-13,MANHATTAN,14,0,0
2023-03-13,QUEENS,18,0,0
2023-03-14,BRONX,5,0,0
2023-03-14,BROOKLYN,12,0,0
2023-03-14,MANHATTAN,10,0,0
2023-03-14,QUEENS,7,0,0
2023-03-15,BRONX,5,0,0
2023-03-15,BROOKLYN,14,0,0
2023-03-15,MANHATTAN,16,0,0
2023-03-15,QUEENS,8,0,0
2023-03-15,STATEN ISLAND,2,0,0
2023-03-16,BRONX,1,0,0
2023-03-16,BROOKLYN,10,0,0
2023-03-16,MANHATTAN,15,0,0
2023-03-16,QUEENS,7,0,0
2023-03-17,BRONX,3,0,0
2023-03-17,BROOKLYN,10,0,0
2023-03-17,MANHATTAN,18,0,0
2023-03-17,QUEENS,12,0,0
2023-03-18,BRONX,1,0,0
2023-03-18,BROOKLYN,6,0,0
2023-03-18,MANHATTAN,10,0,0
2023-03-18,QUEENS,11,0,0
2023-03-19,BROOKLYN,14,0,0
2023-03-19,MANHATTAN,15,0,0
2023-03-19,QUEENS,7,0,0
2023-03-19,STATEN ISLAND,1,0,0
2023-03-20,BRONX,3,0,0
2023-03-20,BROOKLYN,16,0,0
2023-03-20,MANHATTAN,20,0,0
2023-03-20,QUEENS,9,0,0
2023-03-21,BRONX,3,0,0
2023-03-21,BROOKLYN,6,0,0
2023-03-21,MANHATTAN,13,0,0
2023-03-21,QUEENS,12,0,0
2023-03-22,BRONX,3,0,0
2023-03-22,BROOKLYN,8,0,0
2023-03-22,MANHATTAN,16,0,0
2023-03-22,QUEENS,7,0,0
2023-03-23,BRONX,4,0,0
2023-03-23,BROOKLYN,5,0,0
2023-03-23,MANHATTAN,19,0,0
2023-03-23,QUEENS,6,0,0
2023-03-24,BRONX,3,0,0
2023-03-24,BROOKLYN,5,0,0
2023-03-24,MANHATTAN,14,0,0
2023-03-24,QUEENS,6,0,0
2023-03-24,STATEN ISLAND,1,0,0
2023-03-25,BRONX,3,0,0
2023-03-25,BROOKLYN,8,0,0
2023-03-25,MANHATTAN,15,0,0
2023-03-25,QUEENS,5,0,0
2023-03-25,STATEN ISLAND,1,0,0
2023-03-26,BRONX,3,0,0
2023-03-26,BROOKLYN,14,0,0
2023-03-26,MANHATTAN,10,0,0
2023-03-26,QUEENS,7,0,0
2023-03-27,BRONX,1,0,0
2023-03-27,BROOKLYN,13,0,0
2023-03-27,MANHATTAN,13,0,0
2023-03-27,QUEENS,15,0,0
2023-03-28,BRONX,5,0,0
2023-03-28,BROOKLYN,4,0,0
2023-03-28,MANHATTAN,13,0,0
2023-03-28,QUEENS,9,0,0
2023-03-29,BRONX,1,0,0
2023-03-29,BROOKLYN,6,0,0
2023-03-29,MANHATTAN,16,0,0
2023-03-29,QUEENS,9,0,0
2023-03-29,STATEN ISLAND,2,0,0
2023-03-30,BRONX,3,0,0
2023-03-30,BROOKLYN,10,0,0
2023-03-30,MANHATTAN,22,0,0
2023-03-30,QUEENS,8,0,0
2023-03-31,BRONX,1,0,0
2023-03-31,BROOKLYN,18,0,0
2023-03-31,MANHATTAN,13,0,0
2023-03-31,QUEENS,8,0,0
2023-04-01,BROOKLYN,11,0,0
