feature,coefficient,abs_coefficient,odds_ratio
yelp_category_primary_boating,-0.018804246850769424,0.018804246850769424,0.9813714499932027
yelp_category_primary_libraries,-0.018789430804238037,0.018789430804238037,0.9813859901459839
yelp_category_primary_scandinavian,-0.018200667739584474,0.018200667739584474,0.9819639640973119
yelp_category_primary_herbsandspices,-0.01777647929637347,0.01777647929637347,0.9823805902202778
high_complaint_flag,0.017599487952223023,0.017599487952223023,1.0177552715019589
yelp_category_primary_ukrainian,-0.01665141139124076,0.01665141139124076,0.9834864570639581
yelp_category_primary_comedyclubs,-0.015343463827652589,0.015343463827652589,0.9847736473845161
yelp_category_primary_artsupplies,-0.015024050374515752,0.015024050374515752,0.9850882475768774
cuisine_grouped_Italian,0.014765771918397333,0.014765771918397333,1.0148753244737798
yelp_category_primary_cantonese,-0.014378294184950405,0.014378294184950405,0.9857245798456563
precipitation_sum,-0.013790454550377073,0.013790454550377073,0.986304198167083
yelp_category_primary_greek,0.012862232685021761,0.012862232685021761,1.0129453069914374
poor_history_flag,-0.012308589204275031,0.012308589204275031,0.9877668516391521
prev_failed,0.012025679118875214,0.012025679118875214,1.0120982783243857
yelp_category_primary_poolhalls,-0.011789367181121517,0.011789367181121517,0.9882798551120896
cloud_cover_mean,-0.011587548326018425,0.011587548326018425,0.9884793287490633
boro_BROOKLYN,-0.009452366624052948,0.009452366624052948,0.9905921665682023
white_pct,-0.008974681536645126,0.008974681536645126,0.9910654707100401
boro_QUEENS,-0.008674050648568707,0.008674050648568707,0.9913634603928487
rain_sum,-0.008282529154947756,0.008282529154947756,0.9917516764880966
log_yelp_reviews,-0.007486879959553076,0.007486879959553076,0.9925410769127874
yelp_category_primary_cocktailbars,0.00735247682243606,0.00735247682243606,1.00737957264658
food_safety_complaints,0.0,0.0,1.0
rodent_complaints,0.0,0.0,1.0
