feature,coefficient,abs_coefficient
yelp_category_primary_culturalcenter,-0.025096074351763125,0.025096074351763125
yelp_category_primary_thrift_stores,-0.025001091781021993,0.025001091781021993
yelp_category_primary_sicilian,-0.024639658607048903,0.024639658607048903
cuisine_grouped_Pizza,0.02456690686338386,0.02456690686338386
yelp_category_primary_wedding_planning,-0.023859727519532935,0.023859727519532935
yelp_category_primary_cabaret,-0.023824486151777503,0.023824486151777503
yelp_category_primary_afghani,-0.02378107105218638,0.02378107105218638
yelp_category_primary_nonprofit,-0.023515920899295148,0.023515920899295148
yelp_category_primary_egyptian,-0.02319955929249223,0.02319955929249223
yelp_category_primary_bankruptcy,-0.02278037466186617,0.02278037466186617
yelp_category_primary_musicvideo,-0.022757225004426566,0.022757225004426566
yelp_category_primary_gun_ranges,-0.022439492645993642,0.022439492645993642
yelp_category_primary_blinds,-0.022411814869646326,0.022411814869646326
yelp_category_primary_portuguese,-0.02223686236813435,0.02223686236813435
boro_STATEN ISLAND,-0.02220222025409505,0.02220222025409505
yelp_category_primary_beergardens,-0.021622634472666023,0.021622634472666023
yelp_category_primary_stadiumsarenas,-0.021493427630905507,0.021493427630905507
yelp_category_primary_veteransorganizations,-0.021478944729082752,0.021478944729082752
yelp_category_primary_eventplanning,-0.0214010967069644,0.0214010967069644
yelp_category_primary_cafeteria,-0.021262769973830652,0.021262769973830652
yelp_category_primary_galleries,-0.021153035499340573,0.021153035499340573
yelp_category_primary_srilankan,-0.021060668053815214,0.021060668053815214
dow_cos,0.02105828344986918,0.02105828344986918
